sample_id,fastq_path
SCZ:SRR21948648,fastq/raw_reads/SRR21948648.fastq
SCZ:SRR21948649,fastq/raw_reads/SRR21948649.fastq
SCZ:SRR21948650,fastq/raw_reads/SRR21948650.fastq
SCZ:SRR21948651,fastq/raw_reads/SRR21948651.fastq
SCZ:SRR21948652,fastq/raw_reads/SRR21948652.fastq
SCZ:SRR21948653,fastq/raw_reads/SRR21948653.fastq
SCZ:SRR21948654,fastq/raw_reads/SRR21948654.fastq
SCZ:SRR21948655,fastq/raw_reads/SRR21948655.fastq
SCZ:SRR21948656,fastq/raw_reads/SRR21948656.fastq
SCZ:SRR21948657,fastq/raw_reads/SRR21948657.fastq
SCZ:SRR21948658,fastq/raw_reads/SRR21948658.fastq
SCZ:SRR21948659,fastq/raw_reads/SRR21948659.fastq
SCZ:SRR21948660,fastq/raw_reads/SRR21948660.fastq
SCZ:SRR21948661,fastq/raw_reads/SRR21948661.fastq
SCZ:SRR21948662,fastq/raw_reads/SRR21948662.fastq
NPC:SRR21948663,fastq/raw_reads/SRR21948663.fastq
NPC:SRR21948664,fastq/raw_reads/SRR21948664.fastq
NPC:SRR21948665,fastq/raw_reads/SRR21948665.fastq
NPC:SRR21948666,fastq/raw_reads/SRR21948666.fastq
NPC:SRR21948667,fastq/raw_reads/SRR21948667.fastq
NPC:SRR21948668,fastq/raw_reads/SRR21948668.fastq
NPC:SRR21948669,fastq/raw_reads/SRR21948669.fastq
NPC:SRR21948670,fastq/raw_reads/SRR21948670.fastq
NPC:SRR21948671,fastq/raw_reads/SRR21948671.fastq
NPC:SRR21948672,fastq/raw_reads/SRR21948672.fastq
NPC:SRR21948673,fastq/raw_reads/SRR21948673.fastq
NPC:SRR21948674,fastq/raw_reads/SRR21948674.fastq
NPC:SRR21948675,fastq/raw_reads/SRR21948675.fastq
NPC:SRR21948676,fastq/raw_reads/SRR21948676.fastq
NPC:SRR21948677,fastq/raw_reads/SRR21948677.fastq
